Seed,NW1,NW2,Trees,Unsolvable?
70001,75,46,5167556436,0
70002,70,20,24010822656,0
70003,74,28,8452588365,0
70004,72,6,19395040464,0
70005,73,34,8408118760,0
70006,70,10,33714118272,0
70007,70,16,29348947271,0
70008,67,14,48053233152,0
70009,79,36,1614635232,0
70010,77,42,2653146468,0
70011,73,14,14296900805,0
70012,75,18,7526600230,0
70013,66,10,110000000000,0
70014,68,20,48749427517,0
70015,70,22,29174433768,0
70016,69,58,0,1
70017,75,20,5104154160,0
70018,72,44,9809791264,0
70019,61,6,414000000000,0
70020,76,24,4423743520,0
70021,73,26,11510485440,0
70022,79,38,1476662628,0
70023,75,36,5905518560,0
70024,78,30,2137060965,0
70025,73,30,12123023270,0
70026,75,16,5981606022,0
70027,70,2,38398571412,0
70028,74,36,6266001600,0
70029,75,8,7925785680,0
70030,66,18,83103868720,0
70031,77,56,2151374820,0
70032,67,14,86665031610,0
70033,72,24,10793074944,0
70034,75,24,4343807724,0
70035,71,22,24190439897,0
70036,75,24,6075117972,0
70037,73,22,12727625509,0
70038,74,42,3867997698,0
70039,73,8,16533541056,0
70040,76,32,4392141712,0
70041,72,26,14083102255,0
70042,73,4,14636913668,0
70043,67,10,88919467800,0
70044,76,48,3558271228,0
70045,70,2,39883714560,0
70046,73,12,17909570016,0
70047,76,22,5736279552,0
70048,77,42,2042984640,0
70049,71,10,28862985125,0
70050,72,16,16843429824,0
70051,67,28,81775933776,0
70052,71,18,24466265574,0
70053,72,22,15942167600,0
70054,66,12,150000000000,0
70055,70,20,24534123993,0
70056,77,46,3178646064,0
70057,72,4,19551348105,0
70058,69,8,54316548512,0
70059,72,12,20051088673,0
70060,74,28,8876042401,0
70061,67,2,124000000000,0
70062,72,14,21379332736,0
70063,73,10,12928183296,0
70064,71,34,18559555515,0
70065,63,8,212000000000,0
70066,73,24,8872402192,0
70067,78,32,1796097744,0
70068,74,16,7702238640,0
70069,63,2,415000000000,0
70070,72,6,19558625859,0
70071,74,18,8988104448,0
70072,71,14,26665199328,0
70073,69,10,43318354771,0
70074,75,32,4172851284,0
70075,70,24,27861255866,0
70076,65,6,182000000000,0
70077,70,22,29975533056,0
70078,70,16,25519589437,0
70079,66,10,112000000000,0
70080,67,8,66028149540,0
70081,71,38,11825995520,0
70082,68,6,69056477072,0
70083,76,20,5195734704,0
70084,71,8,22432388848,0
70085,63,6,271000000000,0
70086,70,20,16208472432,0
70087,77,26,3698995860,0
70088,72,16,14394961152,0
70089,73,12,15318715104,0
70090,75,26,5398830163,0
70091,70,10,35687734272,0
70092,76,34,3563251223,0
70093,70,8,39816272020,0
70094,68,22,33399614234,0
70095,77,32,3735191600,0
70096,72,18,12686035748,0
70097,75,16,6180059690,0
70098,70,22,32554799228,0
70099,75,28,5919533636,0
70100,75,22,5328897693,0
70101,74,12,10842602230,0
70102,77,46,2265999552,0
70103,75,30,5642045360,0
70104,72,24,19664214912,0
70105,68,24,34272211143,0
70106,72,16,12881483104,0
70107,73,22,12036277536,0
70108,70,10,37767993344,0
70109,69,12,45208474032,0
70110,77,50,2444356800,0
70111,69,14,49461899616,0
70112,72,14,14207526144,0
70113,69,36,18276710400,0
70114,77,44,2459477076,0
70115,73,32,7071881796,0
70116,70,10,32938665860,0
70117,73,14,16108163809,0
70118,70,14,34039156032,0
70119,72,12,15017147385,0
70120,74,28,4520023515,0
70121,73,20,13154649600,0
70122,77,52,1382732640,0
70123,73,32,13940768832,0
70124,75,16,8149751064,0
70125,74,24,8958784160,0
70126,68,4,60950975360,0
70127,67,10,88418153052,0
70128,74,22,8986123812,0
70129,71,16,16913181728,0
70130,71,8,34314423225,0
70131,74,14,10143544016,0
70132,74,36,4976363952,0
70133,63,6,215000000000,0
70134,72,20,10203404622,0
70135,74,14,7939257856,0
70136,64,8,245000000000,0
70137,66,12,144000000000,0
70138,73,28,9912251496,0
70139,76,34,4748126236,0
70140,70,2,44530603944,0
70141,65,2,173000000000,0
70142,71,16,21400131288,0
70143,72,10,16582901052,0
70144,66,4,117000000000,0
70145,66,6,134000000000,0
70146,73,22,9859336240,0
70147,70,12,40914693731,0
70148,70,8,32758732401,0
70149,78,36,1969162692,0
70150,78,42,1760515020,0
70151,72,26,12911069808,0
70152,69,0,57241201332,0
70153,72,24,19769588352,0
70154,71,12,28930521886,0
70155,74,30,9639815700,0
70156,70,16,30036498228,0
70157,73,22,8998131072,0
70158,77,54,899135823,0
70159,72,6,20190507130,0
70160,70,24,20309065380,0
70161,75,36,3096352980,0
70162,74,38,6064264608,0
70163,72,14,21666224716,0
70164,74,20,7673865024,0
70165,75,14,6705368732,0
70166,67,6,73697656816,0
70167,61,2,474000000000,0
70168,71,24,24640041265,0
70169,73,42,7525493136,0
70170,70,10,34077717300,0
70171,75,24,5660318154,0
70172,77,44,1353960237,0
70173,66,2,142000000000,0
70174,72,12,16846407936,0
70175,73,12,11416903680,0
70176,75,38,3024466656,0
70177,76,36,4199729485,0
70178,71,12,13217860576,0
70179,73,48,3721853232,0
70180,65,2,249000000000,0
70181,72,8,25236249696,0
70182,76,44,2746616000,0
70183,76,46,3241589099,0
70184,80,40,876151638,0
70185,76,32,3575172709,0
70186,71,24,19186530352,0
70187,77,32,2629161955,0
70188,75,28,6964302288,0
70189,72,14,19126941785,0
70190,67,22,37763301888,0
70191,73,44,11487905408,0
70192,69,14,37529748956,0
70193,74,18,9335504226,0
70194,64,16,134000000000,0
70195,69,20,37921774860,0
70196,69,14,56429179143,0
70197,70,36,16947450142,0
70198,76,26,4482246775,0
70199,73,16,16817166756,0
70200,69,20,38758090799,0
70201,74,26,8597108032,0
70202,64,16,83919867444,0
70203,67,22,54577918576,0
70204,74,20,8925215740,0
70205,67,8,61470355248,0
70206,75,26,6714947787,0
70207,72,28,10834045097,0
70208,63,8,243000000000,0
70209,74,12,10644192871,0
70210,72,6,22105401088,0
70211,79,50,1428295680,0
70212,69,4,47476626840,0
70213,75,28,4606612416,0
70214,74,22,6453866224,0
70215,78,44,1633742976,0
70216,69,18,34374470592,0
70217,67,14,67522631200,0
70218,69,22,33938963920,0
70219,71,18,22697353354,0
70220,74,10,11049201408,0
70221,75,18,6302337468,0
70222,77,34,3210607611,0
70223,70,14,33765497460,0
70224,69,4,47330871300,0
70225,72,16,18890774300,0
70226,72,14,17278417023,0
70227,78,48,1884940379,0
70228,75,50,4871163180,0
70229,68,8,67114700958,0
70230,73,18,14486975116,0
70231,72,22,18909508464,0
70232,74,22,6058707956,0
70233,73,32,7622342784,0
70234,74,44,4971840341,0
70235,73,20,15844444560,0
70236,69,16,41840613680,0
70237,74,26,6756471996,0
70238,70,40,14061588480,0
70239,72,26,14244791941,0
70240,75,34,4777539540,0
70241,73,28,11745783966,0
70242,70,16,33957564100,0
70243,73,10,15217124401,0
70244,74,26,5594665167,0
70245,69,16,47619893844,0
70246,70,2,37285480432,0
70247,75,28,6169025568,0
70248,70,4,47954434592,0
70249,71,26,20140786464,0
70250,75,40,4985729100,0
70251,76,56,2184963417,0
70252,73,30,6818499432,0
70253,63,10,238000000000,0
70254,68,14,50805694899,0
70255,75,24,6292082931,0
70256,77,26,3295778840,0
70257,74,18,7723746736,0
70258,67,4,90828605530,0
70259,73,24,6517342080,0
70260,77,36,2709756348,0
70261,74,22,9680248581,0
70262,67,12,78627740762,0
70263,76,22,3850491512,0
70264,76,26,3978500928,0
70265,72,16,20875721928,0
70266,80,42,818974656,0
70267,68,16,67904524223,0
70268,72,26,12512501058,0
70269,70,22,27886862133,0
70270,77,48,2056971000,0
70271,77,32,2738265067,0
70272,71,24,11955835098,0
70273,72,30,10735783380,0
70274,70,22,32304408792,0
70275,69,10,44527117604,0
70276,59,6,472000000000,0
70277,61,6,285000000000,0
70278,71,24,18144690792,0
70279,70,6,39491901736,0
70280,71,8,31423837108,0
70281,70,6,44046340950,0
70282,71,12,28286646396,0
70283,74,38,5496792064,0
70284,74,28,6828642951,0
70285,73,6,14250675264,0
70286,66,20,102000000000,0
70287,66,10,110000000000,0
70288,73,38,12364697016,0
70289,68,2,75646774113,0
70290,71,24,16092073116,0
70291,75,24,6494492048,0
70292,76,48,2883481296,0
70293,78,56,1532840326,0
70294,70,18,32596054276,0
70295,68,10,56662934649,0
70296,66,6,116000000000,0
70297,70,20,25692782861,0
70298,64,4,281000000000,0
70299,74,24,8790005280,0
70300,74,20,9335190278,0
70301,69,42,14056649934,0
70302,73,24,14575589759,0
70303,75,24,6280710624,0
70304,75,22,6215902756,0
70305,64,10,208000000000,0
70306,74,52,4798205020,0
70307,75,44,2742748928,0
70308,80,44,898908192,0
70309,67,40,35280554967,0
70310,75,28,7345637928,0
70311,75,16,8546342064,0
70312,65,4,223000000000,0
70313,67,18,54257654496,0
70314,71,10,26322190832,0
70315,72,22,20002842270,0
70316,69,20,39101406880,0
70317,72,16,15414474096,0
70318,69,4,40803669888,0
70319,73,26,11882638656,0
70320,74,14,10457520550,0
70321,75,24,7366421076,0
70322,69,8,50246422236,0
70323,73,44,5709681488,0
70324,72,4,26639857397,0
70325,69,4,69158681045,0
70326,72,20,15992743165,0
