Seed,NW1,NW2,Trees,Unsolvable?
0,69,4,54966767616,0
1,80,52,568571010,0
2,62,4,264000000000,0
3,69,2,52327762960,0
4,74,14,8506167808,0
5,67,16,79953420541,0
6,60,0,852000000000,0
7,72,14,21958195476,0
8,71,26,12820868648,0
9,64,2,274000000000,0
10,69,31,0,1
11,71,18,20793936972,0
12,75,22,7742489744,0
13,71,10,27835209549,0
14,72,10,22086213171,0
15,76,36,3095511552,0
16,74,4,12889344000,0
17,73,20,13944443390,0
18,70,12,29630366124,0
19,80,56,617168496,0
20,68,8,63742395640,0
21,72,24,13542809920,0
22,69,8,53303268341,0
23,70,30,22109927728,0
24,72,4,24225763168,0
25,74,26,7915961296,0
26,74,12,11397268836,0
27,65,6,166000000000,0
28,71,12,23044312088,0
29,76,56,751202928,0
30,75,22,5345235560,0
31,62,4,322000000000,0
32,73,30,7731794700,0
33,64,4,197000000000,0
34,70,12,32643457920,0
35,67,12,105000000000,0
36,69,2,46745759232,0
37,71,22,18645790464,0
38,72,14,18692525625,0
39,75,46,4021720164,0
40,69,14,43209930308,0
41,74,4,9014411916,0
42,70,4,32740186560,0
43,75,32,4757282896,0
44,66,12,111000000000,0
45,76,32,4694480544,0
46,74,24,8042177184,0
47,78,36,2230378006,0
48,76,20,5577858432,0
49,69,22,36017930760,0
50,76,46,4237533504,0
51,76,36,3457472438,0
52,69,8,59074951276,0
53,75,26,5135502750,0
54,74,12,10503563168,0
55,77,40,2017026522,0
56,71,12,22953340800,0
57,71,4,30063083711,0
58,74,36,3316602804,0
59,76,22,5050642464,0
60,69,14,46700064288,0
61,69,4,66001314944,0
62,71,20,16346671616,0
63,72,14,15461904875,0
64,68,18,34710313951,0
65,70,8,36069271540,0
66,75,44,5484193632,0
67,74,14,10943516047,0
68,75,50,2270301664,0
69,72,14,16969551072,0
70,74,14,11584680203,0
71,80,46,759894828,0
72,72,20,16884570080,0
73,71,6,26563227995,0
74,68,4,73696319732,0
75,72,10,17688482387,0
76,68,14,37791267003,0
77,75,16,5686835238,0
78,70,16,31706356608,0
79,73,22,11190657216,0
80,70,10,37973891696,0
81,77,46,3375884928,0
82,68,10,61183005213,0
83,73,18,12630403040,0
84,72,42,12501702940,0
85,74,28,7533927236,0
86,73,22,12406483440,0
87,73,14,14250691332,0
88,64,8,205000000000,0
89,72,16,14185784180,0
90,76,22,4810973488,0
91,78,40,1488856859,0
92,71,10,29304353425,0
93,74,24,7356483828,0
94,72,26,10835339226,0
95,74,24,8878635020,0
96,73,20,9729331744,0
97,72,36,10798568460,0
98,74,28,10151242368,0
99,68,10,55494435440,0
100,70,12,31061415232,0
101,71,12,28171985646,0
102,71,18,21314432261,0
103,66,20,50592613111,0
104,78,60,1648143840,0
105,71,20,13987677600,0
106,76,22,4972508401,0
107,69,4,56302457680,0
108,70,8,44697176064,0
109,71,8,24077444352,0
110,65,0,221000000000,0
111,66,14,79243692264,0
112,69,38,22858164440,0
113,69,14,36447980995,0
114,75,26,6322019339,0
115,75,46,2843926860,0
116,75,16,6340935636,0
117,77,40,1747426480,0
118,71,10,19571849792,0
119,72,16,14187978240,0
120,73,24,7395081024,0
121,74,18,7863138496,0
122,63,0,394000000000,0
123,66,16,55075284160,0
124,69,24,26623134870,0
125,74,34,4024116496,0
126,71,24,17801392580,0
127,71,24,29762045168,0
128,73,20,12733758931,0
129,66,4,93440293387,0
130,79,36,1381152576,0
131,73,22,10756949912,0
132,76,18,5319242208,0
133,74,18,11657338338,0
134,71,10,34294930260,0
135,66,0,171000000000,0
136,76,32,3318777357,0
137,70,10,36399468960,0
138,76,64,3218349888,0
139,70,46,13498506240,0
140,73,48,12542789952,0
141,69,4,59697548609,0
142,68,4,74958853185,0
143,69,8,51706262896,0
144,69,10,50249871375,0
145,76,18,5266087799,0
146,70,20,16868544727,0
147,71,26,18192586684,0
148,70,24,30480401967,0
149,72,18,20374166659,0
150,74,28,7565441407,0
151,76,34,2729325735,0
152,68,6,63074394780,0
153,72,28,11804359114,0
154,75,30,4724031480,0
155,75,24,7505471470,0
156,57,2,1900000000000,0
157,67,12,63727349760,0
158,69,14,45442726912,0
159,74,40,3114372561,0
160,65,2,230000000000,0
161,70,6,35649356778,0
162,72,26,15113622681,0
163,76,26,4294220208,0
164,73,10,12397303339,0
165,75,46,4466147328,0
166,71,18,21728566720,0
167,68,14,54768824320,0
168,73,22,9877084450,0
169,67,8,98322206277,0
170,65,6,123000000000,0
171,77,30,3882221824,0
172,72,24,13297233150,0
173,73,28,7806011507,0
174,74,26,9706521132,0
175,68,8,56537598573,0
176,74,26,8670907686,0
177,62,2,459000000000,0
178,76,22,5185792836,0
179,66,22,52899234689,0
180,67,12,98717073228,0
181,74,24,8116036720,0
182,72,18,17955328304,0
183,78,24,2538004776,0
184,74,38,6835987200,0
185,70,14,30893780128,0
186,75,20,6432061728,0
187,72,18,14405443920,0
188,71,6,32063976960,0
189,69,24,29240918544,0
190,71,41,0,1
191,74,34,6843115041,0
192,71,24,13254118632,0
193,66,10,98958981744,0
194,75,22,6952153747,0
195,60,4,759000000000,0
196,73,26,10364603728,0
197,70,16,30817934651,0
198,70,28,27424755488,0
199,69,18,47083094080,0
200,74,28,8106776487,0
201,72,18,17673511303,0
202,71,12,18232633925,0
203,73,8,11671408152,0
204,73,22,12794043577,0
205,70,16,19430700069,0
206,71,8,30535963710,0
207,70,10,32538751797,0
208,69,18,44086514974,0
209,72,8,12562812017,0
210,76,32,2153789118,0
211,73,32,9682936690,0
212,74,24,6804270371,0
213,75,20,5554973739,0
214,71,16,18816103488,0
215,70,12,28892684661,0
216,71,18,20271446168,0
217,74,42,7627788420,0
218,72,22,16041197263,0
219,73,26,13730655316,0
220,68,2,87874458482,0
221,75,34,6072560768,0
222,77,20,3953081216,0
223,67,2,95868218240,0
224,73,14,17206076688,0
225,69,36,19494924480,0
226,72,8,23830227308,0
227,74,12,10485356736,0
228,70,38,24408593580,0
229,68,16,56038496220,0
230,73,26,12893111328,0
231,75,20,4190763232,0
232,71,10,30932996752,0
233,76,26,5306811328,0
234,75,20,6228668476,0
235,77,20,3358383044,0
236,73,24,7096949040,0
237,70,26,28323856224,0
238,75,10,7518920400,0
239,69,12,63158797440,0
240,74,38,3370391183,0
241,74,26,7393728481,0
242,65,0,157000000000,0
243,70,18,26860500866,0
244,70,10,41096485936,0
245,70,18,31109513904,0
